,"Table S1 All DEGs obtained in this study with annotation and TPM. Pre-po, Pol, Post-pol y Fer",,,,,,,,,,,,
TRINITY_DN701_c0_g1_i1,SYYC1_ARATH,PF00579.26,tRNA synthetases class I (W,|0006418|0006418|0070588|0006730|0006189|0006468,|tRNA aminoacylation for protein translation|tRNA aminoacylation for protein translation|calcium ion transmembrane transport|one-carbon metabolic process|'de novo' IMP biosynthetic process|protein phosphorylation,|0004831|0005524|0004830|0004812|0005524|0015369|0008864|0016742|0004672,|tyrosine-tRNA ligase activity|ATP binding|tryptophan-tRNA ligase activity|aminoacyl-tRNA ligase activity|ATP binding|calcium:proton antiporter activity|formyltetrahydrofolate deformylase activity|hydroxymethyl- formyl- and related transferase activity|protein kinase activity,|0005829|0016021|0016021,|cytosol|integral component of membrane|integral component of membrane,154.8225,27.533,0,0
TRINITY_DN7027_c0_g1_i1,SBT4_LOTJA,PF00082.23,Subtilase family   ,|0006508|0006508,|proteolysis|proteolysis,|0004252|0004252|0046872,|serine-type endopeptidase activity|serine-type endopeptidase activity|metal ion binding,|0048046|0005615|0016021,|apoplast|extracellular space|integral component of membrane,133.315,4.9465,0,0
TRINITY_DN7027_c0_g1_i11,SBT4_LOTJA,PF00082.23,Subtilase family   ,.,.,.,.,.,.,9.969,50.1745,283.371,115.371
TRINITY_DN7035_c0_g2_i4,ADF5_ORYSJ,PF00241.21,Cofilin/tropomyosin-type actin-binding protein  ,|0030042|0051017|0055085,|actin filament depolymerization|actin filament bundle assembly|transmembrane transport,|0003779|0044877|0022857,|actin binding|protein-containing complex binding|transmembrane transporter activity,|0015629|0005737|0016021,|actin cytoskeleton|cytoplasm|integral component of membrane,239.7845,3840.6965,2250.5825,224.6375
TRINITY_DN7038_c0_g1_i1,CB2B_SOLLC,PF00504.22,Chlorophyll A-B binding protein ,|0009765|0018298|0009416|0006887,|photosynthesis light harvesting|protein-chromophore linkage|response to light stimulus|exocytosis,|0016168|0046872,|chlorophyll binding|metal ion binding,|0009522|0009523|0009535|0010287|0009941|0000145|0016021,|photosystem I|photosystem II|chloroplast thylakoid membrane|plastoglobule|chloroplast envelope|exocyst|integral component of membrane,0,76.689,105.2785,6.292
TRINITY_DN7068_c0_g1_i7,ATCA2_ARATH,PF04832.13,SOUL heme-binding protein  ,.,.,|0020037,|heme binding,|0010287|0009535|0016021,|plastoglobule|chloroplast thylakoid membrane|integral component of membrane,56.913,84.001,185.5,417
TRINITY_DN7077_c0_g1_i1,CML29_ORYSJ,PF00036.33,EF hand   ,.,.,|0005509,|calcium ion binding,.,.,0,0,349.6795,87.561
TRINITY_DN7079_c0_g1_i12,AB9C_ARATH,PF00664.24,ABC transporter transmembrane region ,|0055085|0009624|0042908,|transmembrane transport|response to nematode|xenobiotic transport,|0042626|0005524|0042910,|ATPase-coupled transmembrane transporter activity|ATP binding|xenobiotic transmembrane transporter activity,|0000325|0005774|0016021|0009506,|plant-type vacuole|vacuolar membrane|integral component of membrane|plasmodesma,471.995,65.3375,0,0
TRINITY_DN709_c0_g3_i14,LNK1_ARATH,PF08599.11,DNA damage repair protein Nbs1,.,.,.,.,.,.,309.808,382.504,426.264,10.5
TRINITY_DN7163_c0_g1_i2,MCM4_ORYSJ,PF00493.24,MCM P-loop domain  ,|0006270|0032508|1902299|0000727|1902969|0006271|0009555|0070919|0030422|1902600|0001172,|DNA replication initiation|DNA duplex unwinding|pre-replicative complex assembly involved in cell cycle DNA replication|double-strand break repair via break-induced replication|mitotic DNA replication|DNA strand elongation involved in DNA replication|pollen development|production of siRNA involved in chromatin silencing by small RNA|production of siRNA involved in RNA interference|proton transmembrane transport|transcription RNA-templated,|0003678|0003677|0005524|0015078|0003968,|DNA helicase activity|DNA binding|ATP binding|proton transmembrane transporter activity|RNA-directed 5'-3' RNA polymerase activity,|0042555|0005634|0005829|0033179|0031379|0016021,|MCM complex|nucleus|cytosol|proton-transporting V-type ATPase V0 domain|RNA-directed RNA polymerase complex|integral component of membrane,0,349.549,21.011,7.0045
TRINITY_DN7172_c0_g1_i2,FKB62_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0009620|0006412|0034976|0043086|0005975|0000413|0061077,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|response to fungus|translation|response to endoplasmic reticulum stress|negative regulation of catalytic activity|carbohydrate metabolic process|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding,|0003755|0003735|0004857|0004553|0003755,|peptidyl-prolyl cis-trans isomerase activity|structural constituent of ribosome|enzyme inhibitor activity|hydrolase activity hydrolyzing O-glycosyl compounds|peptidyl-prolyl cis-trans isomerase activity,|0005783|0005840|0005773|0016021|0005794|0005829|0009579|0005737|0016021,|endoplasmic reticulum|ribosome|vacuole|integral component of membrane|Golgi apparatus|cytosol|thylakoid|cytoplasm|integral component of membrane,3823.844,2266.778,5.3805,464.794
TRINITY_DN7172_c0_g1_i20,FKB62_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0000413|0061077|0070370,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|cellular heat acclimation,|0003755|0003755,|peptidyl-prolyl cis-trans isomerase activity|peptidyl-prolyl cis-trans isomerase activity,|0009579|0005737|0016021|0005737|0009579|0043231|0016021,|thylakoid|cytoplasm|integral component of membrane|cytoplasm|thylakoid|intracellular membrane-bounded organelle|integral component of membrane,2014.8495,1510.883,48.243,14.941
TRINITY_DN7172_c0_g1_i25,FKB70_WHEAT,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0009620|0034976|0006412|0005975|0000413|0061077|0009845|0046686|0006970|0009611|0009408,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|response to fungus|response to endoplasmic reticulum stress|translation|carbohydrate metabolic process|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|seed germination|response to cadmium ion|response to osmotic stress|response to wounding|response to heat,|0003755|0003735|0004553|0003755|0080025|0032266,|peptidyl-prolyl cis-trans isomerase activity|structural constituent of ribosome|hydrolase activity hydrolyzing O-glycosyl compounds|peptidyl-prolyl cis-trans isomerase activity|phosphatidylinositol-35-bisphosphate binding|phosphatidylinositol-3-phosphate binding,|0005783|0005840|0005773|0005794|0005829|0016021|0009579|0005737|0005634|0071944|0016021,|endoplasmic reticulum|ribosome|vacuole|Golgi apparatus|cytosol|integral component of membrane|thylakoid|cytoplasm|nucleus|cell periphery|integral component of membrane,7723.996,5566.679,11.7475,593.6845
TRINITY_DN7172_c0_g1_i31,FKB70_WHEAT,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding,|0003755,|peptidyl-prolyl cis-trans isomerase activity,|0009579|0005737|0016021,|thylakoid|cytoplasm|integral component of membrane,73.806,269.4,0,0
TRINITY_DN7172_c0_g1_i35,FK151_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0000413|0061077|0009620|0034976|0006412|0005975,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|response to fungus|response to endoplasmic reticulum stress|translation|carbohydrate metabolic process,|0003755|0003755|0003735|0004553,|peptidyl-prolyl cis-trans isomerase activity|peptidyl-prolyl cis-trans isomerase activity|structural constituent of ribosome|hydrolase activity hydrolyzing O-glycosyl compounds,|0009579|0005737|0016021|0005783|0005840|0005773|0005794|0005829|0016021,|thylakoid|cytoplasm|integral component of membrane|endoplasmic reticulum|ribosome|vacuole|Golgi apparatus|cytosol|integral component of membrane,844.6405,1035.756,10.542,10.8645
TRINITY_DN7172_c0_g1_i4,FKB62_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding,|0003755,|peptidyl-prolyl cis-trans isomerase activity,|0009579|0005737|0016021,|thylakoid|cytoplasm|integral component of membrane,1745.354,747.4625,0,0
TRINITY_DN7172_c0_g1_i40,FKB70_WHEAT,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0009845|0046686|0006970|0009611|0009408,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|seed germination|response to cadmium ion|response to osmotic stress|response to wounding|response to heat,|0003755|0080025|0032266,|peptidyl-prolyl cis-trans isomerase activity|phosphatidylinositol-35-bisphosphate binding|phosphatidylinositol-3-phosphate binding,|0009579|0005737|0005634|0071944|0016021,|thylakoid|cytoplasm|nucleus|cell periphery|integral component of membrane,343.7385,53.0645,99.544,18.8745
TRINITY_DN7194_c0_g1_i2,MGDG3_ORYSJ,PF04101.17,Glycosyltransferase family 28 C-terminal domain,|0009247|0034314|0030912|0009735|0009739|0009651|0009414|0009409|0009416|0007018|0045017,|glycolipid biosynthetic process|Arp2/3 complex-mediated actin nucleation|response to deep water|response to cytokinin|response to gibberellin|response to salt stress|response to water deprivation|response to cold|response to light stimulus|microtubule-based movement|glycerolipid biosynthetic process,|0046509|0003777|0008017|0005524,|12-diacylglycerol 3-beta-galactosyltransferase activity|microtubule motor activity|microtubule binding|ATP binding,|0016020|0005885|0005737|0009579|0031984|0043231|0031967,|membrane|Arp2/3 protein complex|cytoplasm|thylakoid|organelle subcompartment|intracellular membrane-bounded organelle|organelle envelope,55.364,266.542,189.2195,0
TRINITY_DN7214_c0_g1_i4,SFH12_ARATH,PF00650.21,CRAL/TRIO domain   ,.,.,.,.,|0016021,|integral component of membrane,14.5,17.0015,41.5,413.5
TRINITY_DN7218_c0_g1_i1,XAT3_ORYSJ,PF04577.15,Protein of unknown function (DUF563),.,.,|0016757,|transferase activity transferring glycosyl groups,|0005794|0016021,|Golgi apparatus|integral component of membrane,123.486,143.0215,43.9545,0
TRINITY_DN7263_c0_g1_i12,GAGT1_ARATH,PF01019.22,Gamma-glutamyltranspeptidase    ,|0006751|0006508|0018215|0006412|0034775|0006979,|glutathione catabolic process|proteolysis|protein phosphopantetheinylation|translation|glutathione transmembrane transport|response to oxidative stress,|0036374|0016755,|glutathione hydrolase activity|transferase activity transferring amino-acyl groups,|0048046|0005886|0009506|0016021,|apoplast|plasma membrane|plasmodesma|integral component of membrane,102.3005,16.722,0,0
TRINITY_DN7263_c0_g1_i3,GAGT1_ARATH,PF01019.22,Gamma-glutamyltranspeptidase    ,|0006751|0006508|0018215|0006412|0034775|0006979,|glutathione catabolic process|proteolysis|protein phosphopantetheinylation|translation|glutathione transmembrane transport|response to oxidative stress,|0036374|0016755,|glutathione hydrolase activity|transferase activity transferring amino-acyl groups,|0048046|0005886|0009506|0016021,|apoplast|plasma membrane|plasmodesma|integral component of membrane,0,62.6285,70.662,10.0395
TRINITY_DN72_c0_g1_i20,EAF6_XENLA,PF09340.11,Histone acetyltransferase subunit NuA4 ,|0016573,|histone acetylation,|0016740,|transferase activity,|0000123|0005773,|histone acetyltransferase complex|vacuole,0,40.4125,119.768,0
TRINITY_DN732_c0_g3_i2,ENDB1_SOLTU,PF07992.15,Pyridine nucleotide-disulphide oxidoreductase  ,.,.,.,.,.,.,146.4,137.8975,89.561,0
TRINITY_DN7347_c0_g1_i2,SAD2H_ARATH,PF02724.15,CDC45-like protein   ,|0006886|0051170|0034504|0017038|0072594,|intracellular protein transport|import into nucleus|protein localization to nucleus|protein import|establishment of protein localization to organelle,.,.,|0005635|0005829|0016021,|nuclear envelope|cytosol|integral component of membrane,120.9915,106.6685,117.1725,0
TRINITY_DN7358_c0_g1_i3,BASS5_ORYSJ,PF01758.17,Sodium Bile acid symporter family,|0033506|0015718|0009753|0009611|0015850|1905039,|glucosinolate biosynthetic process from homomethionine|monocarboxylic acid transport|response to jasmonic acid|response to wounding|organic hydroxy compound transport|carboxylic acid transmembrane transport,|0008028|0015665|0008514,|monocarboxylic acid transmembrane transporter activity|alcohol transmembrane transporter activity|organic anion transmembrane transporter activity,|0009941|0016021,|chloroplast envelope|integral component of membrane,215.3265,188.5,250.501,4.5
TRINITY_DN7359_c0_g1_i1,KN12C_ORYSJ,PF00225.24,Kinesin motor domain  ,|0007018,|microtubule-based movement,|0003777|0008017|0005524|0016887,|microtubule motor activity|microtubule binding|ATP binding|ATPase activity,|0005874|0005871|0016021,|microtubule|kinesin complex|integral component of membrane,234.911,50.877,0,60.531
TRINITY_DN7362_c0_g1_i17,SRL2_ORYSJ,PF14271.7,Domain of unknown function (DUF4359),.,.,.,.,.,.,11.175,11.0095,219.392,0
TRINITY_DN7380_c0_g1_i12,YF1F_SCHPO,PF13460.7,NAD(P)H-binding    ,|0032981|0032981,|mitochondrial respiratory chain complex I assembly|mitochondrial respiratory chain complex I assembly,|0051082,|unfolded protein binding,|0009570,|chloroplast stroma,52.228,0,138.1695,0
TRINITY_DN7394_c0_g1_i4,HIBC6_ARATH,PF16113.6,Enoyl-CoA hydratase/isomerase   ,|0006574,|valine catabolic process,|0003860,|3-hydroxyisobutyryl-CoA hydrolase activity,|0005829|0009507|0005739|0016021,|cytosol|chloroplast|mitochondrion|integral component of membrane,0,85.135,221.4555,58.981
TRINITY_DN7411_c0_g1_i8,AB14G_ARATH,PF01061.25,ABC-2 type transporter  ,|0055085|0010184|0010222|0010588|0009736|0042542|0042742|0140352,|transmembrane transport|cytokinin transport|stem vascular tissue pattern formation|cotyledon vascular tissue pattern formation|cytokinin-activated signaling pathway|response to hydrogen peroxide|defense response to bacterium|export from cell,|0042626|0005524|0015562,|ATPase-coupled transmembrane transporter activity|ATP binding|efflux transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane,63.716,99.696,0,0
TRINITY_DN7455_c0_g1_i1,HTSF1_MOUSE,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0000398,|mRNA splicing via spliceosome,|0003723,|RNA binding,|0005684|0005686,|U2-type spliceosomal complex|U2 snRNP,46.7625,112.7105,0,0
TRINITY_DN748_c0_g1_i13,BIOF_ARATH,PF00155.22,Aminotransferase class I and II,|0009102,|biotin biosynthetic process,|0030170|0003824,|pyridoxal phosphate binding|catalytic activity,|0042579|0005829|0016021,|microbody|cytosol|integral component of membrane,0,63.38,0,20.7305
TRINITY_DN7490_c0_g1_i7,HCAR_ORYSJ,PF04432.14,Coenzyme F420 hydrogenase/dehydrogenase,.,.,.,.,.,.,201.0255,105.6465,578.7335,0
TRINITY_DN750_c0_g1_i27,BP103_ORYSJ,PF17675.2,Apg6 coiled-coil region  ,|0010155|0010155,|regulation of proton transport|regulation of proton transport,|0005515|0003729|0005515,|protein binding|mRNA binding|protein binding,|0005783|0005886|0016021|0005783|0016021|0009506|0005886|0042175|0031984|0031090|0005829,|endoplasmic reticulum|plasma membrane|integral component of membrane|endoplasmic reticulum|integral component of membrane|plasmodesma|plasma membrane|nuclear outer membrane-endoplasmic reticulum membrane network|organelle subcompartment|organelle membrane|cytosol,42.737,0,200.686,0
TRINITY_DN7521_c0_g1_i12,FZL_ARATH,PF00350.24,Dynamin family   ,|0010027|0034051|0010228,|thylakoid membrane organization|negative regulation of plant-type hypersensitive response|vegetative to reproductive phase transition of meristem,|0005525|0003824,|GTP binding|catalytic activity,|0031969|0009527|0016021|0009528|0009535,|chloroplast membrane|plastid outer membrane|integral component of membrane|plastid inner membrane|chloroplast thylakoid membrane,0,130.1985,59.2365,0
TRINITY_DN7521_c0_g1_i5,FZL_ARATH,PF00350.24,Dynamin family   ,|0010027|0034051|0010228|0010027|0034051|0010228,|thylakoid membrane organization|negative regulation of plant-type hypersensitive response|vegetative to reproductive phase transition of meristem|thylakoid membrane organization|negative regulation of plant-type hypersensitive response|vegetative to reproductive phase transition of meristem,|0005525|0003824|0005525|0003824,|GTP binding|catalytic activity|GTP binding|catalytic activity,|0031969|0009527|0016021|0009528|0009535|0031969|0009527|0016021,|chloroplast membrane|plastid outer membrane|integral component of membrane|plastid inner membrane|chloroplast thylakoid membrane|chloroplast membrane|plastid outer membrane|integral component of membrane,980.3285,732.8045,51.8925,120.3645
TRINITY_DN7522_c0_g1_i20,HSP11_MEDSA,PF00011.22,Hsp20/alpha crystallin family  ,|0042542|0009651|0009408|0051259|0006457,|response to hydrogen peroxide|response to salt stress|response to heat|protein complex oligomerization|protein folding,|0043621|0051082,|protein self-association|unfolded protein binding,|0005737,|cytoplasm,0,0,99.2255,0
