,Table S1. All DEGs obtained in this study.,,,,,,,,
TRINITY_DN7588_c0_g1_i1,IF4E1_WHEAT,PF02171.18,Piwi domain   ,|0031047|0031050|0006342|0016441|0051607|0006306|0031047|0006413|0006417|0009615,|gene silencing by RNA|dsRNA processing|chromatin silencing|posttranscriptional gene silencing|defense response to virus|DNA methylation|gene silencing by RNA|translational initiation|regulation of translation|response to virus,|0003676|0003676|0003743|0000340,|nucleic acid binding|nucleic acid binding|translation initiation factor activity|RNA 7-methylguanosine cap binding,|0005634|0016021|0016281|0010494|0000932|0005730|0016021,|nucleus|integral component of membrane|eukaryotic translation initiation factor 4F complex|cytoplasmic stress granule|P-body|nucleolus|integral component of membrane
TRINITY_DN7588_c0_g1_i12,IF4E1_WHEAT,PF02171.18,Piwi domain   ,|0031047|0031047|0031047|0006413|0006417|0009615,|gene silencing by RNA|gene silencing by RNA|gene silencing by RNA|translational initiation|regulation of translation|response to virus,|0003676|0003676|0003676|0003743|0000340,|nucleic acid binding|nucleic acid binding|nucleic acid binding|translation initiation factor activity|RNA 7-methylguanosine cap binding,|0016021|0016021|0016281|0010494|0000932|0005730|0016021,|integral component of membrane|integral component of membrane|eukaryotic translation initiation factor 4F complex|cytoplasmic stress granule|P-body|nucleolus|integral component of membrane
TRINITY_DN7649_c0_g1_i6,FH5_ARATH,PF02181.24,Formin Homology 2 Domain ,.,.,.,.,|0016021,|integral component of membrane
TRINITY_DN7683_c0_g1_i1,ILI5_ORYSJ,PF00010.27,Helix-loop-helix DNA-binding domain  ,|0040008|0010086|0009742|0009740|0006355,|regulation of growth|embryonic root morphogenesis|brassinosteroid mediated signaling pathway|gibberellic acid mediated signaling pathway|regulation of transcription DNA-templated,|0046983|0000976|0003700,|protein dimerization activity|transcription regulatory region sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634|0005737,|nucleus|cytoplasm
TRINITY_DN770_c0_g1_i6,UBC2_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468|0018212|0000209|0016574|0043161|0006281,|protein phosphorylation|peptidyl-tyrosine modification|protein polyubiquitination|histone ubiquitination|proteasome-mediated ubiquitin-dependent protein catabolic process|DNA repair,|0004672|0005524|0004888|0061631|0005524|0016746,|protein kinase activity|ATP binding|transmembrane signaling receptor activity|ubiquitin conjugating enzyme activity|ATP binding|transferase activity transferring acyl groups,|0009506|0016021|0005886|0005737,|plasmodesma|integral component of membrane|plasma membrane|cytoplasm
TRINITY_DN7726_c0_g1_i1,RADL1_ARATH,PF00249.32,Myb-like DNA-binding domain  ,.,.,.,.,|0005634,|nucleus
TRINITY_DN7741_c0_g2_i23,SR45A_ARATH,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0048026|0009644,|positive regulation of mRNA splicing via spliceosome|response to high light intensity,|0003723,|RNA binding,|0005681|0016021,|spliceosomal complex|integral component of membrane
TRINITY_DN776_c0_g1_i7,RSLE3_ORYSJ,PF14372.7,Domain of unknown function (DUF4413),.,.,|0046983|0003677|0046872,|protein dimerization activity|DNA binding|metal ion binding,|0005634,|nucleus
TRINITY_DN7772_c0_g1_i9,ATXR2_ARATH,PF00856.29,SET domain   ,|0032259|0006325|0018205|0008213|0071897,|methylation|chromatin organization|peptidyl-lysine modification|protein alkylation|DNA biosynthetic process,|0008168|0003887|0140096|0046872,|methyltransferase activity|DNA-directed DNA polymerase activity|catalytic activity acting on a protein|metal ion binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN779_c0_g1_i4,LRP6A_ARATH,PF05383.18,La domain   ,|0006396|0031047,|RNA processing|gene silencing by RNA,|0003723,|RNA binding,|1990904|0005634,|ribonucleoprotein complex|nucleus
TRINITY_DN779_c0_g1_i5,LRP6A_ARATH,PF05383.18,La domain   ,|0006396|0031047,|RNA processing|gene silencing by RNA,|0003723,|RNA binding,|1990904|0005634,|ribonucleoprotein complex|nucleus
TRINITY_DN77_c0_g1_i3,PLDA1_ORYSJ,PF12357.9,Phospholipase D C terminal ,|0046470|0016042|0046434|0044248,|phosphatidylcholine metabolic process|lipid catabolic process|organophosphate catabolic process|cellular catabolic process,|0004630|0070290|0005509|0016779,|phospholipase D activity|N-acylphosphatidylethanolamine-specific phospholipase D activity|calcium ion binding|nucleotidyltransferase activity,|0016020|0071944|0005773|0005783|0009536,|membrane|cell periphery|vacuole|endoplasmic reticulum|plastid
TRINITY_DN7878_c0_g1_i1,KNU_ARATH,PF13912.7,C2H2-type zinc finger  ,|0060862|0019757|0016143|0009788|0006355|1901564,|negative regulation of floral organ abscission|glycosinolate metabolic process|S-glycoside metabolic process|negative regulation of abscisic acid-activated signaling pathway|regulation of transcription DNA-templated|organonitrogen compound metabolic process,|0000976|0005515|0003700|0046872,|transcription regulatory region sequence-specific DNA binding|protein binding|DNA-binding transcription factor activity|metal ion binding,|0005634,|nucleus
TRINITY_DN7894_c0_g1_i2,AB39G_ARATH,PF01061.25,ABC-2 type transporter  ,|0055085|0008272,|transmembrane transport|sulfate transport,|0042626|0005524|0015116|0022853,|ATPase-coupled transmembrane transporter activity|ATP binding|sulfate transmembrane transporter activity|active ion transmembrane transporter activity,|0016021,|integral component of membrane
TRINITY_DN7916_c0_g1_i2,P2C78_ORYSJ,PF00481.22,Protein phosphatase 2C  ,|0006470,|protein dephosphorylation,|0106307|0106306|0046872,|protein threonine phosphatase activity|protein serine phosphatase activity|metal ion binding,.,.
TRINITY_DN8017_c0_g1_i2,TIM_RAT,PF03904.14,Domain of unknown function (DUF334),|0043111|0048478|0000076|0006281,|replication fork arrest|replication fork protection|DNA replication checkpoint|DNA repair,|0003677,|DNA binding,|0005634|0005657|0000785|0070013|0043233|0032991,|nucleus|replication fork|chromatin|intracellular organelle lumen|organelle lumen|protein-containing complex
TRINITY_DN803_c0_g1_i9,GUN6_ARATH,PF09478.11,Carbohydrate binding domain CBM49 ,|0000272,|polysaccharide catabolic process,|0030246|0004553,|carbohydrate binding|hydrolase activity hydrolyzing O-glycosyl compounds,.,.
TRINITY_DN8055_c0_g1_i2,SYVM1_ARATH,PF00133.23,tRNA synthetases class I (I,|0006438|0106074|0006506|0009793|0006438|0106074|0015074|0006506,|valyl-tRNA aminoacylation|aminoacyl-tRNA metabolism involved in translational fidelity|GPI anchor biosynthetic process|embryo development ending in seed dormancy|valyl-tRNA aminoacylation|aminoacyl-tRNA metabolism involved in translational fidelity|DNA integration|GPI anchor biosynthetic process,|0004832|0002161|0005524|0004823|0004832|0002161|0005524|0003676,|valine-tRNA ligase activity|aminoacyl-tRNA editing activity|ATP binding|leucine-tRNA ligase activity|valine-tRNA ligase activity|aminoacyl-tRNA editing activity|ATP binding|nucleic acid binding,|0005829|0009507|0005739|0016021|0005829|0016021,|cytosol|chloroplast|mitochondrion|integral component of membrane|cytosol|integral component of membrane
TRINITY_DN805_c0_g1_i5,GGAP1_ARATH,PF07090.12,Putative glutamine amidotransferase  ,.,.,.,.,.,.
TRINITY_DN811_c0_g1_i13,CP21A_ARATH,PF01535.21,PPR repeat   ,|0009451|0031425|0016071|0000959|0015031|0090305|0036211|0048255|0009793|0044267|0000413|0006457|0055085,|RNA modification|chloroplast RNA processing|mRNA metabolic process|mitochondrial RNA metabolic process|protein transport|nucleic acid phosphodiester bond hydrolysis|protein modification process|mRNA stabilization|embryo development ending in seed dormancy|cellular protein metabolic process|protein peptidyl-prolyl isomerization|protein folding|transmembrane transport,|0008270|0003723|0016787|0030246|0042802|0003755|0016018|0022857,|zinc ion binding|RNA binding|hydrolase activity|carbohydrate binding|identical protein binding|peptidyl-prolyl cis-trans isomerase activity|cyclosporin A binding|transmembrane transporter activity,|0043231|0005737|0016021|0005802|0005768|0016021|0005797|0000502|0005783|0005634,|intracellular membrane-bounded organelle|cytoplasm|integral component of membrane|trans-Golgi network|endosome|integral component of membrane|Golgi medial cisterna|proteasome complex|endoplasmic reticulum|nucleus
TRINITY_DN811_c0_g1_i9,PPR32_ARATH,PF00160.22,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,|0000413|0006457|0055085|0009451|0031425|0016071|0000959|0015031|0090305|0048255|0036211|0009793|0044267,|protein peptidyl-prolyl isomerization|protein folding|transmembrane transport|RNA modification|chloroplast RNA processing|mRNA metabolic process|mitochondrial RNA metabolic process|protein transport|nucleic acid phosphodiester bond hydrolysis|mRNA stabilization|protein modification process|embryo development ending in seed dormancy|cellular protein metabolic process,|0003755|0016018|0022857|0008270|0003723|0016787|0030246|0042802,|peptidyl-prolyl cis-trans isomerase activity|cyclosporin A binding|transmembrane transporter activity|zinc ion binding|RNA binding|hydrolase activity|carbohydrate binding|identical protein binding,|0005802|0005768|0016021|0005797|0000502|0005783|0005634|0043231|0005737|0016021,|trans-Golgi network|endosome|integral component of membrane|Golgi medial cisterna|proteasome complex|endoplasmic reticulum|nucleus|intracellular membrane-bounded organelle|cytoplasm|integral component of membrane
TRINITY_DN820_c0_g1_i4,SBT_MEDTR,PF17766.2,Fibronectin type-III domain  ,.,.,.,.,.,.
TRINITY_DN8231_c0_g1_i1,KN14J_ORYSJ,PF00225.24,Kinesin motor domain  ,|0007018|0030705|0006508,|microtubule-based movement|cytoskeleton-dependent intracellular transport|proteolysis,|0003777|0008017|0005524|0016887|0004185,|microtubule motor activity|microtubule binding|ATP binding|ATPase activity|serine-type carboxypeptidase activity,|0005874|0005871|0005576,|microtubule|kinesin complex|extracellular region
TRINITY_DN8238_c0_g1_i8,SRPK_PHYPO,PF00069.26,Protein kinase domain  ,|0006468,|protein phosphorylation,|0004674|0005524,|protein serine/threonine kinase activity|ATP binding,.,.
TRINITY_DN8247_c0_g1_i5,RUMI_CULQU,PF05686.13,Glycosyl transferase family 90 ,.,.,|0016740,|transferase activity,|0016021,|integral component of membrane
TRINITY_DN8253_c0_g1_i4,SBT4_LOTJA,PF00082.23,Subtilase family   ,.,.,.,.,.,.
TRINITY_DN8259_c0_g1_i1,MBF1C_ARATH,PF08523.11,Multiprotein bridging factor 1 ,|0009414|0009737|0009408|0045893,|response to water deprivation|response to abscisic acid|response to heat|positive regulation of transcription DNA-templated,|0003677|0003713,|DNA binding|transcription coactivator activity,|0005634|0070013|0043233|0043232,|nucleus|intracellular organelle lumen|organelle lumen|intracellular non-membrane-bounded organelle
TRINITY_DN8305_c0_g1_i31,JAC1_ARATH,PF00226.32,DnaJ domain   ,|0072318|0072583,|clathrin coat disassembly|clathrin-dependent endocytosis,|0030276,|clathrin binding,|0031982|0043231|0005737,|vesicle|intracellular membrane-bounded organelle|cytoplasm
TRINITY_DN831_c0_g1_i3,LFG4_ARATH,PF08458.11,Plant pleckstrin homology-like region ,|0010305|0010087|0009734,|leaf vascular tissue pattern formation|phloem or xylem histogenesis|auxin-activated signaling pathway,.,.,|0016021|0016021,|integral component of membrane|integral component of membrane
TRINITY_DN8400_c0_g1_i31,FK132_ARATH,PF01344.26,Kelch motif   ,.,.,.,.,|0005634,|nucleus
TRINITY_DN8418_c0_g1_i1,RSLE2_ORYSJ,PF14372.7,Domain of unknown function (DUF4413),.,.,|0046983|0003677|0046872,|protein dimerization activity|DNA binding|metal ion binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN847_c0_g1_i7,SL30A_ARATH,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0000381|0045292,|regulation of alternative mRNA splicing via spliceosome|mRNA cis splicing via spliceosome,|0003723|0008270,|RNA binding|zinc ion binding,|0016607|0005737|0016021,|nuclear speck|cytoplasm|integral component of membrane
TRINITY_DN8498_c0_g1_i1,CSLA9_ARATH,PF13632.7,Glycosyl transferase family group 2,|0071555|0097502,|cell wall organization|mannosylation,|0019187,|beta-14-mannosyltransferase activity,|0005794|0098588|0031984|0016021,|Golgi apparatus|bounding membrane of organelle|organelle subcompartment|integral component of membrane
TRINITY_DN851_c0_g1_i2,HSP83_ORYSJ,PF00183.19,Hsp90 protein   ,|0006457|0050821|0034605,|protein folding|protein stabilization|cellular response to heat,|0051082|0005524,|unfolded protein binding|ATP binding,|0048471|0009986|0005829|0032991|0005886,|perinuclear region of cytoplasm|cell surface|cytosol|protein-containing complex|plasma membrane
TRINITY_DN851_c0_g1_i4,HSP83_ORYSJ,PF00183.19,Hsp90 protein   ,|0006457|0050821|0034605,|protein folding|protein stabilization|cellular response to heat,|0051082|0005524,|unfolded protein binding|ATP binding,|0048471|0009986|0005829|0032991|0005886,|perinuclear region of cytoplasm|cell surface|cytosol|protein-containing complex|plasma membrane
TRINITY_DN8553_c0_g1_i1,PME3_CITSI,PF01095.20,Pectinesterase    ,|0042545|0045490|0043086,|cell wall modification|pectin catabolic process|negative regulation of catalytic activity,|0045330|0030599|0004857,|aspartyl esterase activity|pectinesterase activity|enzyme inhibitor activity,|0005618|0005576|0016021,|cell wall|extracellular region|integral component of membrane
TRINITY_DN8570_c0_g1_i13,D2HDH_ORYSI,PF02913.20,FAD linked oxidases,.,.,.,.,.,.
TRINITY_DN85_c0_g1_i3,C3H32_ARATH,PF00642.25,Zinc finger C-x8-C-x5-C-x3-H type (and,|0006468,|protein phosphorylation,|0003677|0046872|0003729|0106311|0106310|0016787,|DNA binding|metal ion binding|mRNA binding|protein threonine kinase activity|protein serine kinase activity|hydrolase activity,|0005634,|nucleus
TRINITY_DN8650_c0_g1_i1,CCAMK_LOTJA,PF00069.26,Protein kinase domain  ,|0016310,|phosphorylation,|0016301,|kinase activity,|0005886,|plasma membrane
TRINITY_DN8650_c0_g1_i2,CCAMK_LOTJA,PF00069.26,Protein kinase domain  ,|0016310,|phosphorylation,|0016301,|kinase activity,|0005886,|plasma membrane
TRINITY_DN8667_c0_g2_i5,CDKE1_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0007219,|protein phosphorylation|Notch signaling pathway,|0004672|0005524,|protein kinase activity|ATP binding,|0016021,|integral component of membrane
TRINITY_DN8678_c1_g1_i2,PALY_BROFI,PF00221.20,Aromatic amino acid lyase ,|0009800|1902222|0006558|0009074|0009063|0009820,|cinnamic acid biosynthetic process|erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process|L-phenylalanine metabolic process|aromatic amino acid family catabolic process|cellular amino acid catabolic process|alkaloid metabolic process,|0045548|0004421,|phenylalanine ammonia-lyase activity|hydroxymethylglutaryl-CoA synthase activity,|0005737|0032991|0016021,|cytoplasm|protein-containing complex|integral component of membrane
TRINITY_DN8722_c0_g1_i5,MSP1_ORYSJ,PF13855.7,Leucine rich repeat  ,|0046777,|protein autophosphorylation,|0004674|0005524,|protein serine/threonine kinase activity|ATP binding,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN8735_c0_g1_i10,ASNS_ASPOF,PF00733.22,Asparagine synthase   ,|0006529|0006541|0070982|0043617|0009744|0009750|0009749|0043604,|asparagine biosynthetic process|glutamine metabolic process|L-asparagine metabolic process|cellular response to sucrose starvation|response to sucrose|response to fructose|response to glucose|amide biosynthetic process,|0004066|0005524|0016740|0016787,|asparagine synthase (glutamine-hydrolyzing) activity|ATP binding|transferase activity|hydrolase activity,|0005829,|cytosol
TRINITY_DN873_c0_g1_i11,PRP39_SCHPO,PF05843.15,Suppressor of forked protein (Suf),|0006396|0022618|0016071,|RNA processing|ribonucleoprotein complex assembly|mRNA metabolic process,.,.,|0000243|0071004|0005685,|commitment complex|U2-type prespliceosome|U1 snRNP
TRINITY_DN873_c0_g1_i14,PRP39_MOUSE,PF05843.15,Suppressor of forked protein (Suf),|0006396|0022618|0016071|0006396|0022618|0016071|0006396|0022618|0016071,|RNA processing|ribonucleoprotein complex assembly|mRNA metabolic process|RNA processing|ribonucleoprotein complex assembly|mRNA metabolic process|RNA processing|ribonucleoprotein complex assembly|mRNA metabolic process,.,.,|0000243|0071004|0005685|0000243|0071004|0005685|0000243|0071004|0005685,|commitment complex|U2-type prespliceosome|U1 snRNP|commitment complex|U2-type prespliceosome|U1 snRNP|commitment complex|U2-type prespliceosome|U1 snRNP
